Liberation.fr, A la une		, http://www.liberation.fr/rss/la-une,
Liberation.fr, Monde		, http://www.liberation.fr/rss/monde	,				 
Liberation.fr, Politiques	, http://www.liberation.fr/rss/politiques,
Liberation.fr, Société		, http://www.liberation.fr/rss/societe,
Liberation.fr, Education	, http://www.liberation.fr/rss/education,
Liberation.fr, Economie		, http://www.liberation.fr/rss/economie,
Liberation.fr, Terre		, http://www.liberation.fr/rss/terre,
Liberation.fr, Médias		, http://www.liberation.fr/rss/medias,
Liberation.fr, Sports		, http://www.liberation.fr/rss/sports,
Liberation.fr, Culture		, http://www.liberation.fr/rss/culture,
Le Monde.fr,   A la Une		, http://www.lemonde.fr/rss/une.xml,
